year,month,dayofweek,is_weekend,season,city,region,latitude,longitude,elevation,tmin,tmax,tavg,prcp,wspd,humidity,pressure,dew_point,cloud_cover,temp_range,tomorrow_prcp,will_rain,yesterday_prcp,rain_3day,rain_7day
2000,3,0,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-11.0,1.4,-4.6,0.0,2.6,54,1027.2,-12.7,34,12.4,0.0,0,0.0,4.6,6.999999999999998
2000,3,1,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-7.5,2.8,-2.7,0.0,2.6,44,1024.8,-13.4,67,10.3,0.0,0,0.0,0.0,6.999999999999998
2000,3,2,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-3.9,4.5,-0.2,0.0,2.6,41,1023.7,-12.0,93,8.4,0.0,0,0.0,0.0,6.999999999999998
2000,3,3,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-2.7,5.5,0.5,0.0,2.3,54,1025.1,-7.9,30,8.2,0.0,0,0.0,0.0,6.999999999999998
2000,3,4,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-10.3,4.5,-2.3,0.0,2.6,58,1031.1,-9.8,0,14.8,0.0,0,0.0,0.0,4.599999999999999
2000,3,5,1,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-5.5,6.8,0.1,0.0,2.6,47,1030.7,-10.0,17,12.3,0.0,0,0.0,0.0,0.0
2000,3,6,1,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-3.8,8.5,1.8,0.0,2.6,49,1028.0,-7.8,28,12.3,0.0,0,0.0,0.0,0.0
2000,3,0,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,0.0,10.1,5.1,0.0,2.1,51,1025.9,-4.2,92,10.1,3.5,1,0.0,0.0,0.0
2000,3,1,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,4.5,9.7,7.1,3.5,1.9,66,1027.1,1.1,95,5.2,20.8,1,0.0,0.0,0.0
2000,3,2,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,6.7,9.4,8.0,20.8,2.2,88,1024.8,6.1,99,2.7,25.4,1,3.5,3.5,3.499999999999999
2000,3,3,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,7.6,9.5,8.5,25.4,3.0,90,1019.7,7.0,97,1.9,10.4,1,20.8,24.3,24.3
2000,3,4,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,6.2,9.3,7.6,10.4,1.9,83,1018.4,4.9,80,3.1,4.6,1,25.4,49.7,49.7
2000,4,5,1,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,1.4,11.0,7.0,4.6,2.6,74,1021.8,2.5,40,9.6,0.0,0,10.4,56.6,60.1
2000,4,6,1,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-3.8,5.4,0.5,0.0,2.8,74,1028.2,-3.9,59,9.2,0.0,0,4.6,40.39999999999999,64.7
2000,4,0,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-0.1,9.6,4.5,0.0,2.0,41,1019.6,-7.7,31,9.7,6.3,1,0.0,15.0,64.7
2000,4,1,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,3.3,7.1,4.9,6.3,1.3,63,1018.1,-1.8,76,3.8,4.8,1,0.0,4.6,64.7
2000,4,2,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-2.4,7.7,4.5,4.8,2.6,67,1024.0,-1.3,46,10.1,0.0,0,6.3,6.3,67.5
2000,4,3,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-7.5,5.8,-0.5,0.0,3.1,55,1026.2,-9.2,50,13.3,2.0,1,4.8,11.1,51.5
2000,4,4,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,0.3,7.4,3.6,2.0,2.1,53,1025.1,-5.6,94,7.1,0.2,1,0.0,11.1,26.1
2000,4,5,1,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-2.2,7.1,2.7,0.2,2.3,77,1027.2,-1.2,51,9.3,0.0,0,2.0,6.8,17.7
2000,4,6,1,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-8.2,4.1,-1.2,0.0,2.8,76,1028.1,-5.1,24,12.3,0.0,0,0.2,2.2,13.299999999999999
2000,4,0,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-5.7,7.8,1.1,0.0,2.8,45,1027.3,-10.2,10,13.5,0.0,0,0.0,2.2,13.299999999999999
2000,4,1,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-1.2,10.2,4.3,0.0,2.6,34,1024.1,-10.2,0,11.4,0.0,0,0.0,0.2,13.299999999999999
2000,4,2,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,0.2,10.9,5.3,0.0,2.6,34,1023.2,-9.5,5,10.7,0.2,1,0.0,0.0,7.0
2000,4,3,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,1.1,12.4,6.8,0.2,2.3,37,1020.2,-7.0,75,11.3,4.4,1,0.0,0.0,2.2
2000,4,4,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,2.9,8.9,7.2,4.4,2.1,62,1018.7,0.0,86,6.0,0.0,0,0.2,0.2,2.4
2000,4,5,1,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-1.0,9.9,4.9,0.0,2.8,74,1023.0,0.1,48,10.9,0.0,0,4.4,4.6000000000000005,4.800000000000001
2000,4,6,1,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-0.3,9.0,4.3,0.0,2.3,67,1024.9,-1.4,19,9.3,0.0,0,0.0,4.6000000000000005,4.6000000000000005
2000,4,0,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,2.4,10.8,6.1,0.0,2.3,58,1022.6,-1.7,59,8.4,0.3,1,0.0,4.4,4.6000000000000005
2000,4,1,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,3.6,12.1,8.1,0.3,2.0,55,1022.9,-0.5,46,8.5,1.2,1,0.0,0.0,4.6000000000000005
2000,4,2,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,1.6,11.4,6.9,1.2,2.5,70,1025.1,1.7,86,9.8,0.0,0,0.3,0.3,4.9
2000,4,3,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-1.5,12.8,6.5,0.0,2.6,75,1023.6,1.9,47,14.3,0.0,0,1.2,1.5,6.1000000000000005
2000,4,4,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-1.3,11.3,6.0,0.0,3.1,74,1023.3,1.5,67,12.6,0.0,0,0.0,1.5,5.9
2000,4,5,1,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-0.5,11.3,5.7,0.0,2.5,76,1021.1,1.7,95,11.8,0.0,0,0.0,1.2,1.5
2000,4,6,1,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-0.6,12.5,6.4,0.0,3.1,79,1017.8,2.9,67,13.1,0.4,1,0.0,0.0,1.5
2000,4,0,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-1.7,13.0,6.7,0.4,2.8,78,1017.6,2.8,58,14.7,0.2,1,0.0,0.0,1.5
2000,4,1,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,4.3,14.2,9.0,0.2,2.6,71,1017.0,3.8,17,9.9,0.6,1,0.4,0.4,1.9
2000,4,2,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,2.0,13.2,8.7,0.6,2.6,72,1019.1,3.6,48,11.2,1.5,1,0.2,0.6000000000000001,1.8
2000,4,3,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,1.1,13.3,8.3,1.5,2.5,77,1019.3,4.3,74,12.2,3.9,1,0.6,1.2,1.2
2000,4,4,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,7.0,13.1,10.2,3.9,1.5,78,1016.5,6.5,61,6.1,1.7,1,1.5,2.3,2.7
2000,4,5,1,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,2.4,13.6,9.1,1.7,2.9,72,1019.7,4.0,38,11.2,0.1,1,3.9,6.0,6.6
2000,4,6,1,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,2.9,14.9,9.8,0.1,2.3,69,1023.8,3.8,22,12.0,0.0,0,1.7,7.1,8.299999999999999
2000,5,0,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,2.1,15.8,9.6,0.0,2.8,64,1024.2,2.8,26,13.7,0.0,0,0.1,5.7,8.4
2000,5,1,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,6.5,18.5,12.8,0.0,2.0,48,1023.7,1.4,24,12.0,0.2,1,0.0,1.7999999999999996,7.999999999999999
2000,5,2,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,11.0,21.6,16.8,0.2,2.1,42,1021.9,3.5,81,10.6,11.8,1,0.0,0.09999999999999956,7.8
2000,5,3,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,8.0,17.9,13.6,11.8,2.3,71,1024.0,8.2,90,9.9,0.0,0,0.2,0.19999999999999957,7.3999999999999995
2000,5,4,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,2.4,15.8,9.3,0.0,3.3,74,1025.8,4.1,42,13.4,0.0,0,11.8,12.0,17.7
2000,5,5,1,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,5.1,18.9,11.9,0.0,2.3,51,1021.8,1.3,3,13.8,0.0,0,0.0,12.0,13.8
2000,5,6,1,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,7.7,20.6,15.0,0.0,2.3,47,1021.6,3.3,0,12.9,0.0,0,0.0,11.8,12.1
2000,5,0,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,9.8,22.1,16.5,0.0,2.4,44,1019.6,4.0,2,12.3,0.0,0,0.0,0.0,12.0
2000,5,1,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,11.3,23.2,17.8,0.0,2.3,46,1019.3,5.6,3,11.9,0.0,0,0.0,0.0,12.0
2000,5,2,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,12.1,23.8,18.5,0.0,2.3,45,1019.4,6.0,2,11.7,0.0,0,0.0,0.0,12.0
2000,5,3,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,13.2,24.0,19.1,0.0,2.3,43,1017.3,5.8,14,10.8,0.3,1,0.0,0.0,11.8
